time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01/01/2018 00:00:00,Jan-01,50602,4644,21412,9.2,21.7,,
01/01/2018 01:00:00,Jan-01,50620,4582,21412,9.1,21.4,-61.8,-1.330675956
01/01/2018 02:00:00,Jan-01,50757,4570,21412,9.0,21.3,-11.8,-0.25708738
01/01/2018 03:00:00,Jan-01,50795,4540,21412,8.9,21.2,-29.7,-0.648798392
01/01/2018 04:00:00,Jan-01,51230,4550,21412,8.9,21.2,9.3,0.204479492
01/01/2018 05:00:00,Jan-01,52198,4451,21412,8.5,20.8,-99.1,-2.177543797
01/01/2018 06:00:00,Jan-01,53540,4287,21412,8.0,20.0,-163.6,-3.676353133
01/01/2018 07:00:00,Jan-01,54812,4161,21412,7.6,19.4,-126.2,-2.943636006
01/01/2018 08:00:00,Jan-01,55352,3660,21412,6.6,17.1,-501.1,-12.04333606
01/01/2018 09:00:00,Jan-01,55873,3554,21412,6.4,16.6,-105.2,-2.875413939
01/01/2018 10:00:00,Jan-01,56111,3204,21412,5.7,15.0,-350.3,-9.856095421
01/01/2018 11:00:00,Jan-01,55602,2844,21412,5.1,13.3,-359.8,-11.22890089
01/01/2018 12:00:00,Jan-01,54755,2305,21412,4.2,10.8,-538.9,-18.9468499
01/01/2018 13:00:00,Jan-01,53355,2046,21412,3.8,9.6,-259.7,-11.26283709
01/01/2018 14:00:00,Jan-01,51949,2147,21412,4.1,10.0,101.0,4.937351811
01/01/2018 15:00:00,Jan-01,50952,2168,21412,4.3,10.1,21.5,1.000907859
01/01/2018 16:00:00,Jan-01,50842,2097,21412,4.1,9.8,-71.4,-3.293249166
01/01/2018 17:00:00,Jan-01,52236,1709,21412,3.3,8.0,-387.8,-18.49413908
01/01/2018 18:00:00,Jan-01,56464,1811,21412,3.2,8.5,101.5,5.938767484
01/01/2018 19:00:00,Jan-01,57281,2039,21412,3.6,9.5,228.9,12.64046783
01/01/2018 20:00:00,Jan-01,57321,2378,21412,4.1,11.1,338.2,16.58281351
01/01/2018 21:00:00,Jan-01,57027,2685,21412,4.7,12.5,307.0,12.91021751
01/01/2018 22:00:00,Jan-01,55527,3157,21412,5.7,14.7,472.0,17.5803481
01/01/2018 23:00:00,Jan-01,53503,3624,21412,6.8,16.9,467.8,14.81915928
01/02/2018 00:00:00,Jan-02,51862,3551,21412,6.8,16.6,-73.2,-2.020543797
01/02/2018 01:00:00,Jan-02,50765,3211,21412,6.3,15.0,-340.2,-9.579415463
01/02/2018 02:00:00,Jan-02,50275,3070,21412,6.1,14.3,-141.1,-4.395476139
01/02/2018 03:00:00,Jan-02,50210,3125,21412,6.2,14.6,55.5,1.807595427
01/02/2018 04:00:00,Jan-02,50625,2900,21412,5.7,13.5,-225.3,-7.210372204
01/02/2018 05:00:00,Jan-02,51947,2659,21412,5.1,12.4,-240.6,-8.297461158
01/02/2018 06:00:00,Jan-02,54583,2326,21412,4.3,10.9,-333.8,-12.55159753
01/02/2018 07:00:00,Jan-02,57189,2180,21412,3.8,10.2,-145.4,-6.253925074
01/02/2018 08:00:00,Jan-02,58056,2142,21412,3.7,10.0,-38.2,-1.751647583
01/02/2018 09:00:00,Jan-02,58672,1963,21412,3.3,9.2,-179.2,-8.365725624
01/02/2018 10:00:00,Jan-02,59105,1688,21412,2.9,7.9,-275.1,-14.01824402
01/02/2018 11:00:00,Jan-02,59046,1620,21412,2.7,7.6,-67.3,-3.98833062
01/02/2018 12:00:00,Jan-02,58266,1736,21412,3.0,8.1,116.1,7.166507938
01/02/2018 13:00:00,Jan-02,57553,1823,21412,3.2,8.5,86.7,4.991651324
01/02/2018 14:00:00,Jan-02,57035,2002,21412,3.5,9.4,179.4,9.839241421
01/02/2018 15:00:00,Jan-02,56922,2337,21412,4.1,10.9,334.6,16.71139999
01/02/2018 16:00:00,Jan-02,57261,2737,21412,4.8,12.8,400.2,17.12407466
01/02/2018 17:00:00,Jan-02,58545,3003,21412,5.1,14.0,266.2,9.723855667
01/02/2018 18:00:00,Jan-02,61695,3239,21412,5.2,15.1,235.4,7.839204542
01/02/2018 19:00:00,Jan-02,62065,3549,21412,5.7,16.6,309.6,9.560084065
01/02/2018 20:00:00,Jan-02,61617,3432,21412,5.6,16.0,-116.8,-3.292761007
01/02/2018 21:00:00,Jan-02,60582,3785,21412,6.2,17.7,353.7,10.30766053
01/02/2018 22:00:00,Jan-02,58345,4667,21412,8.0,21.8,881.2,23.27893678
01/02/2018 23:00:00,Jan-02,55897,5460,21412,9.8,25.5,792.9,16.99119761
01/03/2018 00:00:00,Jan-03,54455,6776,21412,12.4,31.6,1316.0,24.10527913
01/03/2018 01:00:00,Jan-03,53767,7567,21412,14.1,35.3,791.4,11.68064327
01/03/2018 02:00:00,Jan-03,53676,8136,21412,15.2,38.0,569.4,7.525171934
01/03/2018 03:00:00,Jan-03,54077,8554,21412,15.8,39.9,417.5,5.131802777
01/03/2018 04:00:00,Jan-03,55098,8549,21412,15.5,39.9,-4.4,-0.051831117
01/03/2018 05:00:00,Jan-03,56772,8443,21412,14.9,39.4,-106.9,-1.250508728
01/03/2018 06:00:00,Jan-03,59857,8372,21412,14.0,39.1,-71.0,-0.840987003
01/03/2018 07:00:00,Jan-03,62815,8702,21412,13.9,40.6,330.0,3.942294973
01/03/2018 08:00:00,Jan-03,62517,8122,21412,13.0,37.9,-579.9,-6.664637588
01/03/2018 09:00:00,Jan-03,60097,6394,21412,10.6,29.9,-1727.9,-21.27511754
01/03/2018 10:00:00,Jan-03,56926,4214,21412,7.4,19.7,-2179.8,-34.09266695
01/03/2018 11:00:00,Jan-03,53813,3276,21412,6.1,15.3,-937.5,-22.24810932
01/03/2018 12:00:00,Jan-03,50828,2587,21412,5.1,12.1,-689.0,-21.02776941
01/03/2018 13:00:00,Jan-03,47963,2192,21412,4.6,10.2,-395.2,-15.27293725
01/03/2018 14:00:00,Jan-03,45577,2082,21412,4.6,9.7,-110.8,-5.05199484
01/03/2018 15:00:00,Jan-03,43661,2099,21412,4.8,9.8,17.4,0.837228287
01/03/2018 16:00:00,Jan-03,42759,1580,21412,3.7,7.4,-519.4,-24.74528844
01/03/2018 17:00:00,Jan-03,43631,1032,21412,2.4,4.8,-547.5,-34.66233586
01/03/2018 18:00:00,Jan-03,48269,712,21412,1.5,3.3,-320.1,-31.01831323
01/03/2018 19:00:00,Jan-03,50150,732,21412,1.5,3.4,20.4,2.862790149
01/03/2018 20:00:00,Jan-03,51069,1036,21412,2.0,4.8,303.4,41.43413335
01/03/2018 21:00:00,Jan-03,51372,1927,21412,3.8,9.0,891.1,86.03804281
01/03/2018 22:00:00,Jan-03,50281,3078,21412,6.1,14.4,1151.4,59.75634649
01/03/2018 23:00:00,Jan-03,48756,3474,21412,7.1,16.2,395.6,12.85118199
01/04/2018 00:00:00,Jan-04,47676,3688,21412,7.7,17.2,214.3,6.169407729
01/04/2018 01:00:00,Jan-04,47300,3826,21412,8.1,17.9,137.8,3.735589595
01/04/2018 02:00:00,Jan-04,47178,4150,21412,8.8,19.4,324.4,8.47897514
01/04/2018 03:00:00,Jan-04,47883,4241,21412,8.9,19.8,91.1,2.194815896
01/04/2018 04:00:00,Jan-04,48728,4321,21412,8.9,20.2,79.4,1.871411907
01/04/2018 05:00:00,Jan-04,50722,4801,21412,9.5,22.4,479.8,11.10408466
01/04/2018 06:00:00,Jan-04,53948,5360,21412,9.9,25.0,558.9,11.64228096
01/04/2018 07:00:00,Jan-04,57074,6185,21412,10.8,28.9,825.0,15.39343855
01/04/2018 08:00:00,Jan-04,56709,6647,21412,11.7,31.0,462.5,7.478310026
01/04/2018 09:00:00,Jan-04,54020,6620,21412,12.3,30.9,-26.8,-0.402528665
01/04/2018 10:00:00,Jan-04,50753,4354,21412,8.6,20.3,-2266.6,-34.23632369
01/04/2018 11:00:00,Jan-04,47528,5406,21412,11.4,25.2,1052.6,24.17792006
01/04/2018 12:00:00,Jan-04,45069,6765,21412,15.0,31.6,1358.2,25.12248785
01/04/2018 13:00:00,Jan-04,42886,6045,21412,14.1,28.2,-719.7,-10.63971862
01/04/2018 14:00:00,Jan-04,41219,4785,21412,11.6,22.3,-1259.9,-20.84170339
01/04/2018 15:00:00,Jan-04,40132,4276,21412,10.7,20.0,-508.9,-10.6354222
01/04/2018 16:00:00,Jan-04,40629,4291,21412,10.6,20.0,14.9,0.349540115
01/04/2018 17:00:00,Jan-04,41829,4041,21412,9.7,18.9,-249.9,-5.823897676
01/04/2018 18:00:00,Jan-04,45599,5039,21412,11.1,23.5,997.7,24.68857185
01/04/2018 19:00:00,Jan-04,46540,6510,21412,14.0,30.4,1470.7,29.18807292
01/04/2018 20:00:00,Jan-04,46781,7371,21412,15.8,34.4,861.1,13.2283015
01/04/2018 21:00:00,Jan-04,46461,7980,21412,17.2,37.3,609.0,8.262453477
01/04/2018 22:00:00,Jan-04,44797,6950,21412,15.5,32.5,-1029.6,-12.90222959
01/04/2018 23:00:00,Jan-04,42559,6298,21412,14.8,29.4,-652.2,-9.384012341
